Contexto;Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Nueva Columna
La universidad es la sede principal de la Congregación de Santa Cruz (aunque no su sede oficial, que se encuentra en Roma). Su seminario principal, el Seminario de Moreau, se encuentra en el campus a través del lago San José desde el Edificio Principal. Old College, el edificio más antiguo del campus y situado cerca de la orilla del lago St. Mary, alberga a seminaristas. Sacerdotes y hermanos retirados residen en Fatima House (un antiguo centro de retiro), Holy Cross House, así como en Columba Hall cerca de Grotto. La universidad a través del Seminario Moreau tiene vínculos con el teólogo Frederick Buechner. Aunque no es católico, Buechner ha elogiado a los escritores de Notre Dame y el Seminario Moreau creado un Premio Buechner para la predicación.;¿Qué personas viven en Fatima House en Notre Dame?;Profesoras;Sacerdotes y hermanos retirados;Estudiantes;Sacerdotes y hermanos retirados;Sacerdotes y hermanos retirados;Valor Predeterminado
La universidad es la sede principal de la Congregación de Santa Cruz (aunque no su sede oficial, que se encuentra en Roma). Su seminario principal, el Seminario de Moreau, se encuentra en el campus a través del lago San José desde el Edificio Principal. Old College, el edificio más antiguo del campus y situado cerca de la orilla del lago St. Mary, alberga a seminaristas. Sacerdotes y hermanos retirados residen en Fatima House (un antiguo centro de retiro), Holy Cross House, así como en Columba Hall cerca de Grotto. La universidad a través del Seminario Moreau tiene vínculos con el teólogo Frederick Buechner. Aunque no es católico, Buechner ha elogiado a los escritores de Notre Dame y el Seminario Moreau creado un Premio Buechner para la predicación.;¿Qué premio creó Frederick Buechner?;Premio Buechner para Teólogos;Premio Buechner para Escritores;Premio Buechner para la;Premio Buechner de Oración;Premio Buechner para la;Valor Predeterminado
La Facultad de Ingeniería fue establecida en 1920, sin embargo, los primeros cursos de ingeniería civil y mecánica fueron parte de la Facultad de Ciencias desde la década de 1870. Hoy el colegio, ubicado en los centros de ingeniería Fitzpatrick, Cushing y Stinson-Remick, incluye cinco departamentos de estudio: Ingeniería aeroespacial e ingeniería mecánica, ingeniería química y biomolecular, ingeniería civil y ciencias geológicas. Grados ofrecidos. Además, la universidad ofrece programas de doble titulación de cinco años con los Colleges of Arts and Letters y de Negocios otorgando B.A. Y Master of Business Administration (MBA) grados, respectivamente.;¿Cuántos títulos de licenciatura se ofrecen en el Colegio de Ingeniería de Notre Dame?;Seis títulos de licenciatura.;Cincuenta títulos de licenciatura.;Un título de licenciatura en ingeniería.;programas de doble titulación de;programas de doble titulación de;Valor Predeterminado
La Facultad de Ingeniería fue establecida en 1920, sin embargo, los primeros cursos de ingeniería civil y mecánica fueron parte de la Facultad de Ciencias desde la década de 1870. Hoy el colegio, ubicado en los centros de ingeniería Fitzpatrick, Cushing y Stinson-Remick, incluye cinco departamentos de estudio: Ingeniería aeroespacial e ingeniería mecánica, ingeniería química y biomolecular, ingeniería civil y ciencias geológicas. Grados ofrecidos. Además, la universidad ofrece programas de doble titulación de cinco años con los Colleges of Arts and Letters y de Negocios otorgando B.A. Y Master of Business Administration (MBA) grados, respectivamente.;Antes de la creación de la Facultad de Ingeniería se llevaron a cabo estudios similares en el que la Universidad de Notre Dame.;Los Departamentos de Ingeniería.;la Facultad de Ciencias;El Colegio de Ciencias.;La Facultad de Ingeniería.;la Facultad de Ciencias;Valor Predeterminado
La Facultad de Ingeniería fue establecida en 1920, sin embargo, los primeros cursos de ingeniería civil y mecánica fueron parte de la Facultad de Ciencias desde la década de 1870. Hoy el colegio, ubicado en los centros de ingeniería Fitzpatrick, Cushing y Stinson-Remick, incluye cinco departamentos de estudio: Ingeniería aeroespacial e ingeniería mecánica, ingeniería química y biomolecular, ingeniería civil y ciencias geológicas. Grados ofrecidos. Además, la universidad ofrece programas de doble titulación de cinco años con los Colleges of Arts and Letters y de Negocios otorgando B.A. Y Master of Business Administration (MBA) grados, respectivamente.;¿Cuántos departamentos hay dentro de la Sala de Ingeniería Stinson-Remick?;cinco departamentos;Dos departamentos;Tres departamentos;Cuatro departamentos;cinco departamentos;Valor Predeterminado
La Facultad de Ingeniería fue establecida en 1920, sin embargo, los primeros cursos de ingeniería civil y mecánica fueron parte de la Facultad de Ciencias desde la década de 1870. Hoy el colegio, ubicado en los centros de ingeniería Fitzpatrick, Cushing y Stinson-Remick, incluye cinco departamentos de estudio: Ingeniería aeroespacial e ingeniería mecánica, ingeniería química y biomolecular, ingeniería civil y ciencias geológicas. Grados ofrecidos. Además, la universidad ofrece programas de doble titulación de cinco años con los Colleges of Arts and Letters y de Negocios otorgando B.A. Y Master of Business Administration (MBA) grados, respectivamente.;El Colegio de Ciencias comenzó a ofrecer cursos de ingeniería civil a partir de qué momento en Notre Dame?;la década de 1870;El año 1920;La década de 1980;La década de 1950;la década de 1870;Valor Predeterminado
Todos los estudiantes de pregrado de Notre Dame son parte de una de las cinco universidades de pregrado en la escuela o están en el programa de primer año de estudios. El primer año de estudios se estableció en 1962 para guiar a los estudiantes de primer año en su primer año en la escuela antes de que se declararan mayores. A cada estudiante se le da un asesor académico del programa que les ayuda a elegir clases que les den exposición a cualquier estudiante importante en el que estén interesados. El programa también incluye un Centro de Recursos de Aprendizaje que proporciona gestión del tiempo, aprendizaje colaborativo y tutoría de temas. Este programa ha sido reconocido previamente, por U.S. News & World Report, como sobresaliente.;¿Qué entidad proporciona ayuda con la gestión del tiempo para los nuevos estudiantes en Notre Dame?;El centro de salud mental.;La biblioteca universitaria.;El consejo estudiantil.;Recursos de Aprendizaje;Recursos de Aprendizaje;Valor Predeterminado
Todos los estudiantes de pregrado de Notre Dame son parte de una de las cinco universidades de pregrado en la escuela o están en el programa de primer año de estudios. El primer año de estudios se estableció en 1962 para guiar a los estudiantes de primer año en su primer año en la escuela antes de que se declararan mayores. A cada estudiante se le da un asesor académico del programa que les ayuda a elegir clases que les den exposición a cualquier estudiante importante en el que estén interesados. El programa también incluye un Centro de Recursos de Aprendizaje que proporciona gestión del tiempo, aprendizaje colaborativo y tutoría de temas. Este programa ha sido reconocido previamente, por U.S. News & World Report, como sobresaliente.;¿Cuántos colegios de estudiantes están en Notre Dame?;Solo un colegio de estudiantes;Dos colegios de estudiantes;cinco universidades de pregrado;Tres universidades de pregrado;cinco universidades de pregrado;Valor Predeterminado
Todos los estudiantes de pregrado de Notre Dame son parte de una de las cinco universidades de pregrado en la escuela o están en el programa de primer año de estudios. El primer año de estudios se estableció en 1962 para guiar a los estudiantes de primer año en su primer año en la escuela antes de que se declararan mayores. A cada estudiante se le da un asesor académico del programa que les ayuda a elegir clases que les den exposición a cualquier estudiante importante en el que estén interesados. El programa también incluye un Centro de Recursos de Aprendizaje que proporciona gestión del tiempo, aprendizaje colaborativo y tutoría de temas. Este programa ha sido reconocido previamente, por U.S. News & World Report, como sobresaliente.;¿Qué fue creado en Notre Dame en 1962 para asistir a los estudiantes de primer año?;Consejo de Orientación Académica;primer año de estudios;Centro de Recursos Estudiantiles;Escuela de Maestría;primer año de estudios;Valor Predeterminado
Todos los estudiantes de pregrado de Notre Dame son parte de una de las cinco universidades de pregrado en la escuela o están en el programa de primer año de estudios. El primer año de estudios se estableció en 1962 para guiar a los estudiantes de primer año en su primer año en la escuela antes de que se declararan mayores. A cada estudiante se le da un asesor académico del programa que les ayuda a elegir clases que les den exposición a cualquier estudiante importante en el que estén interesados. El programa también incluye un Centro de Recursos de Aprendizaje que proporciona gestión del tiempo, aprendizaje colaborativo y tutoría de temas. Este programa ha sido reconocido previamente, por U.S. News & World Report, como sobresaliente.;¿Qué organización declaró excepcional el primer año de estudios en Notre Dame?;El Instituto de Investigaciones Educativas de la Universidad de Harvard.;La Asociación Nacional de Universidades e Instituciones de Educación Superior (NACUA).;La Fundación para la Innovación en Educación del MIT.;U.S. News & World Report;U.S. News & World Report;Valor Predeterminado
La universidad ofreció por primera vez títulos de posgrado, en la forma de un Master of Arts (MA), en el año académico 1854-1855. El programa se amplió para incluir Maestría en Leyes (LL.M.) Y Maestro de Ingeniería Civil en sus primeras etapas de crecimiento, antes de que se desarrollara una educación formal de posgrado con una tesis no requerida para recibir los grados. Esto cambió en 1924 con los requisitos formales desarrollados para los títulos de posgrado, incluyendo la oferta de Doctorado (PhD). Hoy en día cada una de las cinco universidades ofrecen educación de posgrado. La mayoría de los departamentos del Colegio de Artes y Letras ofrecen programas de doctorado, mientras que un Master profesional de Divinidad (M.Div. El programa también existe. Todos los departamentos del Colegio de Ciencias ofrecen programas de doctorado, a excepción del Departamento de Estudios pre-profesionales. La Escuela de Arquitectura ofrece una Maestría en Arquitectura, mientras que cada uno de los departamentos del Colegio de Ingeniería ofrecen programas de doctorado. El Colegio de Negocios ofrece múltiples programas profesionales, incluyendo MBA y Master of Science in Accountancy. También opera instalaciones en Chicago y Cincinnati para su programa ejecutivo MBA. Además, el programa Alliance for Catholic Education ofrece un programa de Maestría en Educación donde los estudiantes estudian en la universidad durante el verano y enseñan en escuelas primarias católicas, escuelas medias y secundarias en el sur de Estados Unidos durante dos años escolares.;¿Qué tipo de grado es un M.Div.?;Maestría en Divinidad;Licenciatura en Religión;Doctorado de Teología;Master profesional de Divinidad;Master profesional de Divinidad;Valor Predeterminado
La universidad ofreció por primera vez títulos de posgrado, en la forma de un Master of Arts (MA), en el año académico 1854-1855. El programa se amplió para incluir Maestría en Leyes (LL.M.) Y Maestro de Ingeniería Civil en sus primeras etapas de crecimiento, antes de que se desarrollara una educación formal de posgrado con una tesis no requerida para recibir los grados. Esto cambió en 1924 con los requisitos formales desarrollados para los títulos de posgrado, incluyendo la oferta de Doctorado (PhD). Hoy en día cada una de las cinco universidades ofrecen educación de posgrado. La mayoría de los departamentos del Colegio de Artes y Letras ofrecen programas de doctorado, mientras que un Master profesional de Divinidad (M.Div. El programa también existe. Todos los departamentos del Colegio de Ciencias ofrecen programas de doctorado, a excepción del Departamento de Estudios pre-profesionales. La Escuela de Arquitectura ofrece una Maestría en Arquitectura, mientras que cada uno de los departamentos del Colegio de Ingeniería ofrecen programas de doctorado. El Colegio de Negocios ofrece múltiples programas profesionales, incluyendo MBA y Master of Science in Accountancy. También opera instalaciones en Chicago y Cincinnati para su programa ejecutivo MBA. Además, el programa Alliance for Catholic Education ofrece un programa de Maestría en Educación donde los estudiantes estudian en la universidad durante el verano y enseñan en escuelas primarias católicas, escuelas medias y secundarias en el sur de Estados Unidos durante dos años escolares.;¿Qué programa en Notre Dame ofrece un título de Maestría en Educación?;Master of Science in Accountancy;Maestría en Educación;for Catholic Education;Maestría en Ciencias de la Salud;for Catholic Education;Valor Predeterminado
La universidad ofreció por primera vez títulos de posgrado, en la forma de un Master of Arts (MA), en el año académico 1854-1855. El programa se amplió para incluir Maestría en Leyes (LL.M.) Y Maestro de Ingeniería Civil en sus primeras etapas de crecimiento, antes de que se desarrollara una educación formal de posgrado con una tesis no requerida para recibir los grados. Esto cambió en 1924 con los requisitos formales desarrollados para los títulos de posgrado, incluyendo la oferta de Doctorado (PhD). Hoy en día cada una de las cinco universidades ofrecen educación de posgrado. La mayoría de los departamentos del Colegio de Artes y Letras ofrecen programas de doctorado, mientras que un Master profesional de Divinidad (M.Div. El programa también existe. Todos los departamentos del Colegio de Ciencias ofrecen programas de doctorado, a excepción del Departamento de Estudios pre-profesionales. La Escuela de Arquitectura ofrece una Maestría en Arquitectura, mientras que cada uno de los departamentos del Colegio de Ingeniería ofrecen programas de doctorado. El Colegio de Negocios ofrece múltiples programas profesionales, incluyendo MBA y Master of Science in Accountancy. También opera instalaciones en Chicago y Cincinnati para su programa ejecutivo MBA. Además, el programa Alliance for Catholic Education ofrece un programa de Maestría en Educación donde los estudiantes estudian en la universidad durante el verano y enseñan en escuelas primarias católicas, escuelas medias y secundarias en el sur de Estados Unidos durante dos años escolares.;¿Cuál departamento de Notre Dame es el único que no ofrece un programa de doctorado?;Colegio de Artes y Letras;de Estudios pre-profesionales;Escuela de Medicina;Departamento de Estudios religiosos;de Estudios pre-profesionales;Valor Predeterminado
El Instituto Joan B. Kroc de Estudios Internacionales de la Paz en la Universidad de Notre Dame está dedicado a la investigación, educación y divulgación sobre las causas de los conflictos violentos y las condiciones para la paz sostenible. Ofrece doctorado, maestría y licenciatura en estudios de paz. Fue fundada en 1986 a través de donaciones de Joan B. Kroc, la viuda del propietario de McDonald 's Ray Kroc. El instituto fue inspirado por la visión del Rev. Theodore M. Hesburgh CSC, Presidente Emérito de la Universidad de Notre Dame. El instituto ha contribuido a discusiones de política internacional sobre las prácticas de construcción de la paz.;¿Qué instituto de Notre Dame estudia las razones del conflicto violento?;Centro de Investigación sobre Conflictos Internacionales;Instituto de Estudios Políticos;Escuela de Relaciones Internacionales;Instituto Joan B. Kroc de Estudios Internacionales de la Paz;Instituto Joan B. Kroc de Estudios Internacionales de la Paz;Valor Predeterminado
El Instituto Joan B. Kroc de Estudios Internacionales de la Paz en la Universidad de Notre Dame está dedicado a la investigación, educación y divulgación sobre las causas de los conflictos violentos y las condiciones para la paz sostenible. Ofrece doctorado, maestría y licenciatura en estudios de paz. Fue fundada en 1986 a través de donaciones de Joan B. Kroc, la viuda del propietario de McDonald 's Ray Kroc. El instituto fue inspirado por la visión del Rev. Theodore M. Hesburgh CSC, Presidente Emérito de la Universidad de Notre Dame. El instituto ha contribuido a discusiones de política internacional sobre las prácticas de construcción de la paz.;¿Cuál es el título de Theodore Hesburgh de Notre Dame?;Professor Emérito de Economía;Obispo de Notre Dame;Presidente Emérito de la Universidad de Notre Dame;Fundador de McDonald's;Presidente Emérito de la Universidad de Notre Dame;Valor Predeterminado
El Instituto Joan B. Kroc de Estudios Internacionales de la Paz en la Universidad de Notre Dame está dedicado a la investigación, educación y divulgación sobre las causas de los conflictos violentos y las condiciones para la paz sostenible. Ofrece doctorado, maestría y licenciatura en estudios de paz. Fue fundada en 1986 a través de donaciones de Joan B. Kroc, la viuda del propietario de McDonald 's Ray Kroc. El instituto fue inspirado por la visión del Rev. Theodore M. Hesburgh CSC, Presidente Emérito de la Universidad de Notre Dame. El instituto ha contribuido a discusiones de política internacional sobre las prácticas de construcción de la paz.;¿En qué año se fundó el Instituto Joan B. Kroc para Estudios Internacionales de la Paz?; 1975; 1987; 1990;1986;1986;Valor Predeterminado
El Instituto Joan B. Kroc de Estudios Internacionales de la Paz en la Universidad de Notre Dame está dedicado a la investigación, educación y divulgación sobre las causas de los conflictos violentos y las condiciones para la paz sostenible. Ofrece doctorado, maestría y licenciatura en estudios de paz. Fue fundada en 1986 a través de donaciones de Joan B. Kroc, la viuda del propietario de McDonald 's Ray Kroc. El instituto fue inspirado por la visión del Rev. Theodore M. Hesburgh CSC, Presidente Emérito de la Universidad de Notre Dame. El instituto ha contribuido a discusiones de política internacional sobre las prácticas de construcción de la paz.;¿Con quién se casó John B. Kroc?;Ted Turner;Joan B. Kroc;Ronald McDonald;Ray Kroc;Ray Kroc;Valor Predeterminado
El Instituto Joan B. Kroc de Estudios Internacionales de la Paz en la Universidad de Notre Dame está dedicado a la investigación, educación y divulgación sobre las causas de los conflictos violentos y las condiciones para la paz sostenible. Ofrece doctorado, maestría y licenciatura en estudios de paz. Fue fundada en 1986 a través de donaciones de Joan B. Kroc, la viuda del propietario de McDonald 's Ray Kroc. El instituto fue inspirado por la visión del Rev. Theodore M. Hesburgh CSC, Presidente Emérito de la Universidad de Notre Dame. El instituto ha contribuido a discusiones de política internacional sobre las prácticas de construcción de la paz.;¿Qué compañía tenía Ray Kroc?;Taco Bell;KFC;McDonald 's;Burger King;McDonald 's;Valor Predeterminado
El sistema de bibliotecas de la universidad se divide entre la biblioteca principal y cada una de las universidades y escuelas. El edificio principal es la Biblioteca Theodore M. Hesburgh de 14 pisos, completada en 1963, que es el tercer edificio en albergar la colección principal de libros. El frente de la biblioteca está adornado con el mural Word of Life diseñado por el artista Millard Sheets. Este mural es popularmente conocido como Touchdown Jesus debido a su proximidad al Estadio Notre Dame y los brazos de Jesús que parecen hacer la señal para un touchdown.;¿Cuántos pisos tiene la biblioteca principal de Notre Dame?;10;8;14;12;14;Valor Predeterminado
El sistema de bibliotecas de la universidad se divide entre la biblioteca principal y cada una de las universidades y escuelas. El edificio principal es la Biblioteca Theodore M. Hesburgh de 14 pisos, completada en 1963, que es el tercer edificio en albergar la colección principal de libros. El frente de la biblioteca está adornado con el mural Word of Life diseñado por el artista Millard Sheets. Este mural es popularmente conocido como Touchdown Jesus debido a su proximidad al Estadio Notre Dame y los brazos de Jesús que parecen hacer la señal para un touchdown.;¿Cómo se llama la biblioteca principal de Notre Dame?;Librería del Santo;La biblioteca principal de Notre Dame se llama University Library;Biblioteca de San Pablo;Biblioteca Theodore M. Hesburgh;Biblioteca Theodore M. Hesburgh;Valor Predeterminado
